"y3_hhid","rf_19830101","rf_19830102","rf_19830103","rf_19830104","rf_19830105","rf_19830106","rf_19830107","rf_19830108","rf_19830109","rf_19830110","rf_19830111","rf_19830112","rf_19830113","rf_19830114","rf_19830115","rf_19830116","rf_19830117","rf_19830118","rf_19830119"
"0001-002",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"0003-001",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"0003-003",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"0015-001",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"0004-001",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"0005-001",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"0006-001",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"0165-001",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"0008-001",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"0009-001",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"0010-001",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"0011-001",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"0012-001",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"0013-001",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"0017-001",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"0016-001",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"0022-001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0846-001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0026-001",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"0028-002",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
